tsStart, tsEnd, interruption_lag, disturbance, interruptibility, mental_workload
2023-03-31T11:45:55.847Z, 2023-03-31T11:46:57.674Z, 5353, 2, 2, 3
2023-03-31T11:48:59.923Z, 2023-03-31T11:49:50.291Z, 3960, 4, 3, 3
2023-03-31T11:58:51.558Z, 2023-03-31T11:59:52.852Z, 4336, 5, 4, 4
2023-03-31T12:09:54.560Z, 2023-03-31T12:10:55.296Z, 3697, 2, 1, 1
2023-03-31T12:11:57.590Z, 2023-03-31T12:12:55.108Z, 3127, 2, 1, 1
2023-03-31T12:14:56.799Z, 2023-03-31T12:16:03.045Z, 3997, 2, 1, 1
2023-03-31T12:18:04.346Z, 2023-03-31T12:19:29.375Z, 2948, 2, 1, 1
2023-03-31T12:28:30.724Z, 2023-03-31T12:29:59.874Z, 9172, 3, 2, 1
2023-03-31T12:39:01.450Z, 2023-03-31T12:39:39.842Z, 8910, 2, 3, 1
